,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
p11,-0.8647580742835999,-0.8995247483253479,-0.9375697374343872,-0.9771445393562317,-1.0219124555587769,-1.0899336338043213,-1.176393747329712,-0.9913427233695984,-1.0779136419296265,-1.1076396703720093,-1.100249171257019,-1.0947080850601196,-1.059855580329895,-0.9754850268363953,-1.1622875928878784,-1.0737152099609375,-1.0114151239395142,-0.9573794603347778,-0.9198461174964905,-0.8795382976531982,-0.843242347240448
p12,-0.7912316918373108,-0.8221828937530518,-0.8613678216934204,-0.9078267216682434,-0.9617970585823059,-1.0346086025238037,-0.9671513438224792,-0.9240759611129761,-0.9610971212387085,-0.9679835438728333,-0.9463524222373962,-0.9544650912284851,-0.9412692785263062,-0.9101834297180176,-0.8857411742210388,-1.0193994045257568,-0.9548824429512024,-0.8921629190444946,-0.8468468189239502,-0.8043350577354431,-0.7708990573883057
p13,-0.7143228650093079,-0.75300133228302,-0.8027986884117126,-0.8581761121749878,-0.9160616993904114,-0.8965532779693604,-0.7575461864471436,-0.8001992702484131,-0.818352997303009,-0.8174154758453369,-0.7891120314598083,-0.8049059510231018,-0.800308883190155,-0.7848650217056274,-0.7501342296600342,-0.7982450127601624,-0.910198450088501,-0.8457005620002747,-0.7924433350563049,-0.7400930523872375,-0.6980739831924438
p14,-0.6746983528137207,-0.7263011932373047,-0.7853357791900635,-0.8238216638565063,-0.6078042984008789,-0.6586002111434937,-0.7015557289123535,-0.7102682590484619,-0.7157346606254578,-0.7070578932762146,-0.6690878868103027,-0.694551408290863,-0.6987784504890442,-0.6950072050094604,-0.6866694688796997,-0.650945246219635,-0.5873171091079712,-0.7823454737663269,-0.7775270342826843,-0.7178601622581482,-0.6631603837013245
p15,-0.6080518364906311,-0.5976305603981018,-0.47296401858329773,-0.5117926597595215,-0.5415416955947876,-0.5631709098815918,-0.5710064768791199,-0.566439151763916,-0.5618146657943726,-0.5469978451728821,-0.5008755326271057,-0.5349695086479187,-0.5468207597732544,-0.552280068397522,-0.5558573603630066,-0.5490832924842834,-0.5341966152191162,-0.5033987760543823,-0.463165283203125,-0.5419570207595825,-0.5992717742919922
p16,-0.36417481303215027,-0.39005398750305176,-0.41049924492836,-0.42156410217285156,-0.42795509099960327,-0.43428921699523926,-0.4323141872882843,-0.421436607837677,-0.4105689823627472,-0.3929811418056488,-0.34743162989616394,-0.3821503221988678,-0.39842820167541504,-0.40970534086227417,-0.41953667998313904,-0.42199307680130005,-0.41965022683143616,-0.4109819531440735,-0.40194785594940186,-0.38293421268463135,-0.3530299663543701
p17,-0.25880932807922363,-0.2640606462955475,-0.26710665225982666,-0.2682568430900574,-0.2671925127506256,-0.2661704421043396,-0.2586880028247833,-0.24481457471847534,-0.23258057236671448,-0.22103294730186462,-0.20302429795265198,-0.21390222012996674,-0.22487151622772217,-0.236911341547966,-0.24977892637252808,-0.25759243965148926,-0.26073381304740906,-0.26045894622802734,-0.26072922348976135,-0.2573182284832001,-0.25230541825294495
p18,-0.14096418023109436,-0.13969571888446808,-0.13815322518348694,-0.13608388602733612,-0.13299188017845154,-0.13001573085784912,-0.12372685223817825,-0.11749695241451263,-0.1180349588394165,-0.12651604413986206,-0.14894378185272217,-0.1252797544002533,-0.11634828895330429,-0.11473727226257324,-0.11969110369682312,-0.1257849484682083,-0.1294623613357544,-0.1319878101348877,-0.13493891060352325,-0.13639646768569946,-0.1373203843832016
p19,0.032010458409786224,0.03196200355887413,0.03116062469780445,0.02885916270315647,0.02569299377501011,0.02098424732685089,0.008801317773759365,-0.013590343296527863,-0.04141518101096153,-0.07489196211099625,-0.12507449090480804,-0.07916050404310226,-0.04562165215611458,-0.018220406025648117,0.004204172175377607,0.0178817305713892,0.023508453741669655,0.026413897052407265,0.028188351541757584,0.028687024489045143,0.028703542426228523
p20,0.7096040844917297,0.6628920435905457,0.5904815793037415,0.4914948046207428,0.3756923973560333,0.24000222980976105,0.0931909829378128,-0.060097403824329376,-0.22454917430877686,-0.38488227128982544,-0.5402852296829224,-0.4069480895996094,-0.24714240431785583,-0.0872875228524208,0.06419090181589127,0.2023298442363739,0.3363792598247528,0.45284104347229004,0.5532780885696411,0.6248766779899597,0.6763516664505005
