,X = 0,X = -200,X = -400,X = -600,X = -800,X = -1000,X = 0,X = 200,X = 400,X = 600,X = 800,X = 1000
p12,0.0024485929199999997,1.0538027385072,1.9974100033776006,3.0507391279344005,4.0437619532016,5.0154082517232,0.0020437696752,-1.0082197782288,-1.9899066580752003,-3.0354672082704006,-3.9926108921616,-5.0021358796560005
p13,-0.010372572377600002,1.0472875480187003,1.9964269435241004,3.0563739288006,4.056997333883,5.038032306585101,-0.010699760237,-1.0280928369145,-2.0184195039729,-3.0758350161443,-4.046743106109301,-5.0747732383529005
p14,0.013492753292999999,1.0681938433704,2.0148025529208,3.0723874098186004,4.0710047073492,5.050637744379601,0.0131179153566,-1.0018336144920001,-1.9898912731020002,-3.0449080716612005,-4.013910393036,-5.0402278115646
p15,0.0029371887140000005,1.0511374173556,1.9913189772294002,3.0407642264594004,4.0309803467957,5.0012728465483,0.002520136852800001,-1.0061788387882,-1.9884339720719002,-3.0372755952898,-4.0004362589817,-5.020196375343501
p16,0.010334754376,1.0704631380556002,2.0219516109300004,3.0842054669495003,4.0857568796857,5.066089323199001,0.009800262992800002,-1.009301178145,-2.0000377354325,-3.0557006493757006,-4.022385765409101,-5.042939739920901
p17,-0.006030402744,1.0605933222720003,2.017298441472,3.085053984096,4.091840226936001,5.077664292456001,-0.0065700756720000015,-1.0330050083639999,-2.031910262484,-3.0982537333800004,-4.076752684800001,-5.112063716052001
p18,-0.0157809882677,1.0549645206249998,2.0156840756050007,3.0888714887005,4.101258253470701,5.093687297242301,-0.0163134258593,-1.0455663683984,-2.0470050049801998,-3.1162875243565997,-4.0969387981634,-5.1347960318471
p19,4.362207240000007e-05,1.0705843079580002,2.0311824357828003,3.1040011060776,4.1161182049812,5.107957960392,-0.00046824288119999997,-1.0297240608000002,-2.031125233662,-3.0994678980576,-4.0791760769448,-5.1155449832376005
p20,0.014729216476499999,1.0880077628820002,2.0510435124705,3.1262865871380003,4.141232818995,5.135792930212999,0.0142271192155,-1.0180827394795,-2.0227213678815006,-3.0951892890325006,-4.079268783273499,-5.1206839740755
p21,0.0215277759844,1.0931532707244997,2.0546915606137004,3.1284109132813,4.1416153592341,5.134551516089499,0.0209830054396,-1.0096189153817001,-2.0125312307714003,-3.0830683028504,-4.0654304212505,-5.1051431564981
p22,-0.020085041739699994,1.0484571827857,2.00726974757,3.0779283638311,4.0880517727293,5.0776247306011,-0.0206575101902,-1.0488741815036,-2.0489086288348997,-3.1165353831599996,-4.095763006906799,-5.1316107162178
p23,0.0176762680896,1.0844515136208002,2.0418499980192,3.1110180208032006,4.1196871576200005,5.108140672946401,0.0171422031216,-1.0090465658232002,-2.0074183803312002,-3.0727620377088,-4.0496829777672,-5.0831204241912
p24,0.043111163884200006,1.1132493441738003,2.0732328705346,3.1451958687088,4.1564505993336,5.146883842428202,0.042578897367600003,-0.9864719387464002,-1.98738862363,-3.0550799376986,-4.0336471181566,-5.0681522397762
p25,0.070463363303,1.1395072138745002,2.0984846514383,3.1691833270490006,4.1792002485023,5.1688366881113,0.0699436579961,-0.9585955503691003,-1.9597352353765003,-3.0287229706852004,-4.0097662973116,-5.0484011399728
